Facial B-Claim
DAS28 I-Premise
( I-Premise
C I-Premise
- I-Premise
reactive I-Premise
protein I-Premise
) I-Premise
low I-Premise
disease I-Premise
activity I-Premise
score I-Premise
( I-Premise
< I-Premise
or I-Premise
= I-Premise
3 I-Premise
. I-Premise
2 I-Premise
) I-Premise
and I-Premise
DAS28 I-Premise
( I-Premise
C I-Premise
- I-Premise
reactive I-Premise
protein I-Premise
) I-Premise
- I-Premise
defined I-Premise
remission I-Premise
( I-Premise
< I-Premise
2 I-Premise
. I-Premise
6 I-Premise
) I-Premise
increased I-Premise
from I-Premise
18 I-Premise
. I-Premise
3 I-Premise
% I-Premise
( I-Premise
13 I-Premise
. I-Premise
0 I-Premise
, I-Premise
23 I-Premise
. I-Premise
5 I-Premise
) I-Premise
to I-Premise
32 I-Premise
. I-Premise
0 I-Premise
% I-Premise
( I-Premise
24 I-Premise
. I-Premise
6 I-Premise
, I-Premise
39 I-Premise
. I-Premise
4 I-Premise
) I-Premise
and I-Premise
11 I-Premise
. I-Premise
1 I-Premise
% I-Premise
( I-Premise
6 I-Premise
. I-Premise
8 I-Premise
, I-Premise
15 I-Premise
. I-Premise
3 I-Premise
) I-Premise
to I-Premise
20 I-Premise
. I-Premise
3 I-Premise
% I-Premise
( I-Premise
13 I-Premise
. I-Premise
9 I-Premise
, I-Premise
26 I-Premise
. I-Premise
6 I-Premise
) I-Premise
. I-Premise

Clinically B-Premise
meaningful I-Premise
improvements I-Premise
in I-Premise
SF I-Premise
- I-Premise
36 I-Premise
, I-Premise
pain I-Premise
, I-Premise
fatigue I-Premise
and I-Premise
sleep I-Premise
problems I-Premise
were I-Premise
also I-Premise
maintained I-Premise
throughout I-Premise
the I-Premise
2 I-Premise
years I-Premise
of I-Premise
abatacept I-Premise
treatment I-Premise
. I-Premise

No B-Premise
unique I-Premise
safety I-Premise
observations I-Premise
were I-Premise
reported I-Premise
during I-Premise
open I-Premise
- I-Premise
label I-Premise
exposure I-Premise
. I-Premise

Improvements B-Premise
in I-Premise
the I-Premise
signs I-Premise
and I-Premise
symptoms I-Premise
of I-Premise
rheumatoid I-Premise
arthritis I-Premise
, I-Premise
physical I-Premise
function I-Premise
and I-Premise
health I-Premise
- I-Premise
related I-Premise
quality I-Premise
of I-Premise
life I-Premise
observed I-Premise
after I-Premise
6 I-Premise
months I-Premise
, I-Premise
were I-Premise
maintained I-Premise
throughout I-Premise
the I-Premise
2 I-Premise
years I-Premise
in I-Premise
this I-Premise
population I-Premise
with I-Premise
difficult I-Premise
- I-Premise
to I-Premise
- I-Premise
treat I-Premise
disease I-Premise
. I-Premise

Gemcitabine O
for O
advanced O
pancreatic O
cancer O
( O
APC O
) O
is O
palliative O
and O
the O
prognosis O
is O
poor O
, O
making O
health O
- O
related O
quality O
of O
life O
( O
HRQOL O
) O
particularly O
important O
. O

We O
evaluated O
HRQOL O
with O
the O
EuroQol O
( O
EQ O
- O
5D™ O
) O
in O
patients O
with O
APC O
participating O
in O
Cancer O
and O
Leukemia O
Group O
B O
80303 O
, O
a O
multicenter O
, O
double O
- O
blind O
, O
randomized O
trial O
comparing O
overall O
survival O
( O
OS O
) O
between O
two O
treatment O
arms O
: O
gemcitabine O
with O
bevacizumab O
or O
gemcitabine O
with O
placebo O
. O

A O
consecutive O
subsample O
of O
patients O
was O
invited O
to O
complete O
the O
EQ O
- O
5D O
surveys O
. O

Because O
neither O
clinical O
nor O
HRQOL O
outcomes O
differed O
based O
on O
the O
study O
arm O
, O
analyses O
were O
pooled O
. O

Changes O
in O
mean O
scores O
from O
baseline O
to O
eight O
weeks O
and O
the O
prognostic O
value O
of O
the O
EQ O
- O
5D O
were O
evaluated O
. O

Mean B-Premise
index I-Premise
scores I-Premise
remained I-Premise
stable I-Premise
( I-Premise
0 I-Premise
. I-Premise
78 I-Premise
at I-Premise
baseline I-Premise
[ I-Premise
n I-Premise
= I-Premise
267 I-Premise
] I-Premise
, I-Premise
0 I-Premise
. I-Premise
79 I-Premise
at I-Premise
eight I-Premise
weeks I-Premise
[ I-Premise
n I-Premise
= I-Premise
186 I-Premise
] I-Premise
, I-Premise
P I-Premise
= I-Premise
0 I-Premise
. I-Premise
34 I-Premise
, I-Premise
Wilcoxon I-Premise
signed I-Premise
rank I-Premise
test I-Premise
) I-Premise
, I-Premise
attributable I-Premise
to I-Premise
a I-Premise
modest I-Premise
deterioration I-Premise
of I-Premise
physical I-Premise
function I-Premise
domain I-Premise
scores I-Premise
coincident I-Premise
with I-Premise
small I-Premise
improvements I-Premise
in I-Premise
pain I-Premise
and I-Premise
anxiety I-Premise
/ I-Premise
depression I-Premise
scores I-Premise
. I-Premise

A B-Premise
small I-Premise
decline I-Premise
in I-Premise
visual I-Premise
analogue I-Premise
scale I-Premise
scores I-Premise
was I-Premise
observed I-Premise
( I-Premise
70 I-Premise
. I-Premise
7 I-Premise
vs I-Premise
. I-Premise
68 I-Premise
. I-Premise
2 I-Premise
, I-Premise
P I-Premise
= I-Premise
0 I-Premise
. I-Premise
026 I-Premise
) I-Premise
. I-Premise

HRQOL B-Premise
changes I-Premise
within I-Premise
chemotherapy I-Premise
response I-Premise
strata I-Premise
revealed I-Premise
stable I-Premise
index I-Premise
scores I-Premise
but B-Premise
a I-Premise
trend I-Premise
of I-Premise
worsened I-Premise
physical I-Premise
function I-Premise
among I-Premise
patients I-Premise
with I-Premise
disease I-Premise
progression I-Premise
compared I-Premise
with I-Premise
those I-Premise
with I-Premise
stable I-Premise
or I-Premise
improved I-Premise
disease I-Premise
. I-Premise

Visual B-Premise
analogue I-Premise
scale I-Premise
scores I-Premise
trended I-Premise
downward I-Premise
over I-Premise
time I-Premise
irrespective I-Premise
of I-Premise
chemotherapy I-Premise
response I-Premise
status I-Premise
, I-Premise
with I-Premise
a I-Premise
statistically I-Premise
meaningful I-Premise
deterioration I-Premise
in I-Premise
patients I-Premise
who I-Premise
progressed I-Premise
( I-Premise
68 I-Premise
. I-Premise
9 I-Premise
vs I-Premise
. I-Premise
64 I-Premise
. I-Premise
4 I-Premise
, I-Premise
P I-Premise
= I-Premise
0 I-Premise
. I-Premise
029 I-Premise
) I-Premise
. I-Premise

Baseline O
scores O
from O
both O
EQ O
- O
5D O
scales O
were O
significant O
predictors O
of O
OS O
in O
Cox O
proportional O
hazard O
models O
. O

Response B-Claim
to I-Claim
gemcitabine I-Claim
treatment I-Claim
in I-Claim
APC I-Claim
is I-Claim
not I-Claim
associated I-Claim
with I-Claim
appreciable I-Claim
improvement I-Claim
of I-Claim
global I-Claim
HRQOL I-Claim
. I-Claim

Small O
improvements O
in O
pain O
and O
mood O
are O
observed O
despite O
progressive O
functional O
decline O
. O

Those B-Claim
who I-Claim
respond I-Claim
to I-Claim
gemcitabine I-Claim
may I-Claim
experience I-Claim
a I-Claim
slight I-Claim
slowing I-Claim
of I-Claim
functional I-Claim
deterioration I-Claim
. I-Claim

Bone O
- O
cancer O
pain O
is O
a O
common O
and O
refractory O
cancer O
pain O
. O

Opioids O
, O
on O
their O
own O
, O
do O
not O
control O
this O
type O
of O
pain O
well O
enough O
, O
and O
co O
- O
analgesics O
are O
necessary O
. O

Patients O
with O
bone O
metastasis O
- O
related O
pain O
at O
Numeric O
Rating O
Scale O
≥4 O
were O
enrolled O
to O
this O
randomized O
placebo O
- O
controlled O
trial O
. O

They O
had O
also O
received O
morphine O
or O
transdermal O
fentanyl O
patches O
for O
at O
least O
1 O
week O
. O

During O
the O
3 O
- O
day O
efficacy O
phase O
, O
patients O
received O
placebo O
or O
1 O
- O
3 O
tablets O
of O
oxycodone O
/ O
paracetamol O
( O
5 O
/ O
325 O
mg O
) O
, O
four O
times O
daily O
for O
3 O
days O
. O

All O
patients O
kept O
a O
daily O
pain O
diary O
. O

The O
primary O
endpoint O
was O
the O
Pain O
Intensity O
Difference O
( O
PID O
) O
. O

Secondary O
endpoints O
were O
cases O
of O
breakthrough O
pain O
and O
rescue O
morphine O
consumption O
. O

Additional O
analyses O
included O
the O
Short O
Form O
- O
6 O
Dimensions O
( O
SF O
- O
6D O
) O
quality O
- O
of O
- O
life O
scale O
and O
a O
general O
impression O
( O
GI O
) O
of O
patient O
satisfaction O
with O
treatment O
at O
the O
end O
of O
the O
phase O
. O

Of O
the O
246 O
patients O
in O
the O
intent O
- O
to O
- O
treat O
set O
, O
89 O
· O
4 O
% O
completed O
the O
3 O
- O
day O
efficacy O
phase O
. O

PIDs B-Premise
were I-Premise
0 I-Premise
· I-Premise
9 I-Premise
and I-Premise
0 I-Premise
· I-Premise
3 I-Premise
in I-Premise
the I-Premise
oxycodone I-Premise
/ I-Premise
paracetamol I-Premise
and I-Premise
placebo I-Premise
groups I-Premise
respectively I-Premise
, I-Premise
on I-Premise
day I-Premise
1 I-Premise
( I-Premise
P I-Premise
< I-Premise
0 I-Premise
· I-Premise
001 I-Premise
) I-Premise
, I-Premise
and I-Premise
1 I-Premise
· I-Premise
5 I-Premise
and I-Premise
0 I-Premise
· I-Premise
3 I-Premise
respectively I-Premise
on I-Premise
day I-Premise
3 I-Premise
( I-Premise
P I-Premise
< I-Premise
0 I-Premise
· I-Premise
001 I-Premise
) I-Premise
. I-Premise

Thirty B-Premise
- B-Premise
eight B-Premise
patients I-Premise
in I-Premise
the I-Premise
treatment I-Premise
group I-Premise
, I-Premise
and I-Premise
58 I-Premise
in I-Premise
the I-Premise
placebo I-Premise
group I-Premise
, I-Premise
suffered I-Premise
breakthrough I-Premise
pain I-Premise
on I-Premise
day I-Premise
3 I-Premise
( I-Premise
P I-Premise
< I-Premise
0 I-Premise
· I-Premise
001 I-Premise
) I-Premise
. I-Premise

The B-Premise
SF I-Premise
- I-Premise
6D I-Premise
score I-Premise
decreased I-Premise
to I-Premise
21 I-Premise
· I-Premise
2 I-Premise
± I-Premise
2 I-Premise
· I-Premise
5 I-Premise
in I-Premise
the I-Premise
oxycodone I-Premise
/ I-Premise
paracetamol I-Premise
group I-Premise
at I-Premise
the I-Premise
end I-Premise
of I-Premise
the I-Premise
phase I-Premise
( I-Premise
P I-Premise
= I-Premise
0 I-Premise
· I-Premise
001 I-Premise
) I-Premise
. I-Premise

In B-Premise
the I-Premise
oxycodone I-Premise
/ I-Premise
paracetamol I-Premise
group I-Premise
, I-Premise
67 I-Premise
% I-Premise
rated I-Premise
GI I-Premise
as I-Premise
good I-Premise
, I-Premise
very I-Premise
good I-Premise
, I-Premise
or I-Premise
excellent I-Premise
. I-Premise

Patients B-Claim
with I-Claim
bone I-Claim
- I-Claim
cancer I-Claim
pain I-Claim
, I-Claim
already I-Claim
on I-Claim
opioids I-Claim
, I-Claim
obtain I-Claim
clinically I-Claim
important I-Claim
, I-Claim
additional I-Claim
pain I-Claim
- I-Claim
control I-Claim
, I-Claim
with I-Claim
regular I-Claim
oxycodone I-Claim
/ I-Claim
paracetamol I-Claim
dosing I-Claim
. I-Claim

To O
examine O
the O
effects O
of O
a O
seated O
exercise O
program O
on O
fatigue O
and O
quality O
of O
life O
( O
QOL O
) O
in O
women O
with O
metastatic O
breast O
cancer O
. O

Randomized O
, O
controlled O
, O
longitudinal O
trial O
. O

Outpatient O
clinic O
of O
a O
comprehensive O
cancer O
center O
. O

Convenience O
sample O
of O
38 O
women O
who O
were O
beginning O
outpatient O
chemotherapy O
. O

Subjects O
were O
randomized O
to O
a O
control O
or O
intervention O
group O
"""" O
; O
"""" O
the O
intervention O
was O
performance O
of O
a O
seated O
exercise O
program O
using O
home O
videotape O
three O
times O
per O
week O
for O
four O
cycles O
of O
chemotherapy O
. O

All O
subjects O
completed O
the O
Functional O
Assessment O
of O
Chronic O
Illness O
Therapy O
Fatigue O
Version O
IV O
( O
FACIT O
F O
) O
at O
baseline O
and O
at O
the O
time O
of O
the O
next O
three O
cycles O
. O

Subjects O
were O
asked O
to O
document O
the O
frequency O
, O
duration O
, O
and O
intensity O
of O
all O
exercise O
participation O
on O
monthly O
calendars O
. O

Exercise O
, O
fatigue O
, O
and O
QOL O
. O

32 O
subjects O
, O
16 O
per O
group O
, O
completed O
the O
study O
follow O
- O
up O
. O

With B-Premise
a I-Premise
mixed I-Premise
modeling I-Premise
approach I-Premise
, I-Premise
total I-Premise
FACIT I-Premise
F I-Premise
scores I-Premise
for I-Premise
the I-Premise
entire I-Premise
sample I-Premise
declined I-Premise
at I-Premise
a I-Premise
significant I-Premise
rate I-Premise
( I-Premise
p I-Premise
= I-Premise
0 I-Premise
. I-Premise
003 I-Premise
) I-Premise
beginning I-Premise
with I-Premise
cycle I-Premise
3 I-Premise
but B-Premise
at I-Premise
a I-Premise
slower I-Premise
rate I-Premise
for I-Premise
the I-Premise
experimental I-Premise
group I-Premise
( I-Premise
p I-Premise
= I-Premise
0 I-Premise
. I-Premise
02 I-Premise
) I-Premise
. I-Premise

Fatigue B-Premise
scores I-Premise
indicated I-Premise
less I-Premise
increase I-Premise
and I-Premise
physical I-Premise
well I-Premise
- I-Premise
being I-Premise
subscale I-Premise
scores I-Premise
showed I-Premise
less I-Premise
decline I-Premise
for I-Premise
the I-Premise
experimental I-Premise
group I-Premise
( I-Premise
p I-Premise
= I-Premise
0 I-Premise
. I-Premise
008 I-Premise
and I-Premise
p I-Premise
= I-Premise
0 I-Premise
. I-Premise
02 I-Premise
, I-Premise
respectively I-Premise
) I-Premise
. I-Premise

Women B-Premise
with I-Premise
advanced I-Premise
breast I-Premise
cancer I-Premise
randomized I-Premise
to I-Premise
the I-Premise
seated I-Premise
exercise I-Premise
intervention I-Premise
had I-Premise
a I-Premise
slower I-Premise
decline I-Premise
in I-Premise
total I-Premise
and I-Premise
physical I-Premise
well I-Premise
- I-Premise
being I-Premise
and I-Premise
less I-Premise
increase I-Premise
in I-Premise
fatigue I-Premise
scores I-Premise
starting I-Premise
with I-Premise
the I-Premise
third I-Premise
cycle I-Premise
of I-Premise
chemotherapy I-Premise
. I-Premise

Seated B-Claim
exercise I-Claim
may I-Claim
be I-Claim
a I-Claim
feasible I-Claim
exercise I-Claim
program I-Claim
for I-Claim
women I-Claim
with I-Claim
advanced I-Claim
cancer I-Claim
for I-Claim
controlling I-Claim
fatigue I-Claim
and I-Claim
improving I-Claim
physical I-Claim
well I-Claim
- I-Claim
being I-Claim
. I-Claim

Few O
intervention O
programs O
assist O
patients O
and O
their O
family O
caregivers O
to O
manage O
advanced O
cancer O
and O
maintain O
their O
quality O
of O
life O
( O
QOL O
) O
. O

This O
study O
examined O
( O
i O
) O
whether O
patient O
- O
caregiver O
dyads O
( O
i O
. O
e O
. O
, O
pairs O
) O
randomly O
assigned O
to O
a O
brief O
or O
extensive O
dyadic O
intervention O
( O
the O
FOCUS O
Program O
) O
had O
better O
outcomes O
than O
dyads O
randomly O
assigned O
to O
usual O
care O
and O
( O
ii O
) O
whether O
patients O
' O
risk O
for O
distress O
and O
other O
factors O
moderated O
the O
effect O
of O
the O
brief O
or O
extensive O
program O
on O
outcomes O
. O

Advanced O
cancer O
patients O
and O
their O
caregivers O
( O
N O
= O
484 O
dyads O
) O
were O
stratified O
by O
patients O
' O
baseline O
risk O
for O
distress O
( O
high O
versus O
low O
) O
, O
cancer O
type O
( O
lung O
, O
colorectal O
, O
breast O
, O
or O
prostate O
) O
, O
and O
research O
site O
and O
then O
randomly O
assigned O
to O
a O
brief O
( O
three O
- O
session O
) O
or O
extensive O
( O
six O
- O
session O
) O
intervention O
or O
control O
. O

The O
interventions O
offered O
dyads O
information O
and O
support O
. O

Intermediary O
outcomes O
were O
appraisals O
( O
i O
. O
e O
. O
, O
appraisal O
of O
illness O
/ O
caregiving O
, O
uncertainty O
, O
and O
hopelessness O
) O
and O
resources O
( O
i O
. O
e O
. O
, O
coping O
, O
interpersonal O
relationships O
, O
and O
self O
- O
efficacy O
) O
. O

The O
primary O
outcome O
was O
QOL O
. O

Data O
were O
collected O
prior O
to O
intervention O
and O
post O
- O
intervention O
( O
3 O
and O
6 O
months O
from O
baseline O
) O
. O

The O
final O
sample O
was O
302 O
dyads O
. O

Repeated O
measures O
MANCOVA O
was O
used O
to O
evaluate O
outcomes O
. O

Significant B-Premise
group I-Premise
by I-Premise
time I-Premise
interactions I-Premise
showed I-Premise
that I-Premise
there I-Premise
was I-Premise
an I-Premise
improvement I-Premise
in I-Premise
dyads I-Premise
' I-Premise
coping I-Premise
( I-Premise
p I-Premise
< I-Premise
0 I-Premise
. I-Premise
05 I-Premise
) I-Premise
, I-Premise
self I-Premise
- I-Premise
efficacy I-Premise
( I-Premise
p I-Premise
< I-Premise
0 I-Premise
. I-Premise
05 I-Premise
) I-Premise
, I-Premise
and I-Premise
social I-Premise
QOL I-Premise
( I-Premise
p I-Premise
< I-Premise
0 I-Premise
. I-Premise
01 I-Premise
) I-Premise
and I-Premise
in I-Premise
caregivers I-Premise
' I-Premise
emotional I-Premise
QOL I-Premise
( I-Premise
p I-Premise
< I-Premise
0 I-Premise
. I-Premise
05 I-Premise
) I-Premise
. I-Premise

Effects O
varied O
by O
intervention O
dose O
. O

Most O
effects O
were O
found O
at O
3 O
months O
only O
. O

Risk B-Premise
for I-Premise
distress I-Premise
accounted I-Premise
for I-Premise
very I-Premise
few I-Premise
moderation I-Premise
effects I-Premise
. I-Premise

Both B-Premise
brief I-Premise
and I-Premise
extensive I-Premise
programs I-Premise
had I-Premise
positive I-Premise
outcomes I-Premise
for I-Premise
patient I-Premise
- I-Premise
caregiver I-Premise
dyads I-Premise
, I-Premise
but B-Premise
few I-Premise
sustained I-Premise
effects I-Premise
. I-Premise

Patient B-Claim
- B-Claim
caregiver B-Claim
dyads I-Claim
benefit I-Claim
when I-Claim
viewed I-Claim
as I-Claim
the I-Claim
' I-Claim
unit I-Claim
of I-Claim
care I-Claim
' I-Claim
. I-Claim

To O
observe O
the O
clinical O
efficacy O
of O
Shenqi O
Fuzheng O
Injection O
( O
SFI O
) O
combined O
with O
chemotherapy O
in O
treating O
patients O
with O
advanced O
breast O
cancer O
. O

Sixty O
patients O
were O
randomly O
assigned O
to O
two O
groups O
by O
digital O
table O
, O
the O
control O
group O
and O
the O
treatment O
group O
, O
30 O
in O
each O
group O
. O

All O
patients O
were O
treated O
with O
the O
same O
CTF O
regimen O
of O
chemotherapy O
for O
21 O
days O
as O
one O
therapeutic O
cycle O
, O
while O
those O
in O
the O
treatment O
group O
were O
given O
SFI O
additionally O
in O
the O
meanwhite O
. O

The O
therapeutic O
efficacy O
was O
evaluated O
after O
2 O
cycles O
of O
treatment O
by O
observing O
the O
changes O
of O
short O
- O
term O
efficacy O
, O
TCM O
syndrome O
, O
quality O
of O
life O
and O
immune O
function O
, O
as O
well O
as O
the O
adverse O
reaction O
. O

The B-Premise
total I-Premise
short I-Premise
- I-Premise
term I-Premise
remission I-Premise
rate I-Premise
, I-Premise
the I-Premise
improvement I-Premise
rate I-Premise
of I-Premise
clinical I-Premise
syndrome I-Premise
and I-Premise
quality I-Premise
of I-Premise
life I-Premise
was I-Premise
50 I-Premise
. I-Premise
0 I-Premise
% I-Premise
, I-Premise
70 I-Premise
. I-Premise
0 I-Premise
% I-Premise
and I-Premise
76 I-Premise
. I-Premise
7 I-Premise
% I-Premise
in I-Premise
the I-Premise
treatment I-Premise
group I-Premise
, I-Premise
and I-Premise
43 I-Premise
. I-Premise
3 I-Premise
% I-Premise
, I-Premise
46 I-Premise
. I-Premise
7 I-Premise
% I-Premise
and I-Premise
50 I-Premise
. I-Premise
0 I-Premise
% I-Premise
in I-Premise
the I-Premise
control I-Premise
group I-Premise
, I-Premise
respectively I-Premise
, I-Premise
showing I-Premise
significant I-Premise
difference I-Premise
between I-Premise
the I-Premise
two I-Premise
groups I-Premise
( I-Premise
all I-Premise
P I-Premise
< I-Premise
0 I-Premise
. I-Premise
05 I-Premise
) I-Premise
. I-Premise

The B-Premise
occurrence I-Premise
of I-Premise
adverse I-Premise
reaction I-Premise
in I-Premise
the I-Premise
treatment I-Premise
group I-Premise
was I-Premise
lower I-Premise
than I-Premise
that I-Premise
in I-Premise
the I-Premise
control I-Premise
group I-Premise
( I-Premise
P I-Premise
< I-Premise
0 I-Premise
. I-Premise
05 I-Premise
) I-Premise
. I-Premise

The B-Premise
level I-Premise
of I-Premise
CD3 I-Premise
+ I-Premise
CD4 I-Premise
+ I-Premise
and I-Premise
CD4 I-Premise
+ I-Premise
/ I-Premise
CD8 I-Premise
+ I-Premise
ratio I-Premise
increased I-Premise
( I-Premise
P I-Premise
< I-Premise
0 I-Premise
. I-Premise
05 I-Premise
) I-Premise
and I-Premise
CD8 I-Premise
+ I-Premise
decreased I-Premise
in I-Premise
the I-Premise
treatment I-Premise
group I-Premise
( I-Premise
P I-Premise
< I-Premise
0 I-Premise
. I-Premise
01 I-Premise
) I-Premise
, I-Premise
while I-Premise
they I-Premise
showed I-Premise
insignificant I-Premise
change I-Premise
in I-Premise
the I-Premise
control I-Premise
group I-Premise
. I-Premise

For B-Claim
treatment I-Claim
of I-Claim
advanced I-Claim
breast I-Claim
cancer I-Claim
, I-Claim
SFI I-Claim
can I-Claim
alleviate I-Claim
the I-Claim
bone I-Claim
marrow I-Claim
inhibition I-Claim
caused I-Claim
by I-Claim
chemotherapy I-Claim
, I-Claim
improve I-Claim
clinical I-Claim
symptoms I-Claim
and I-Claim
quality I-Claim
of I-Claim
life I-Claim
and I-Claim
prolong I-Claim
the I-Claim
survival I-Claim
period I-Claim
by I-Claim
regulating I-Claim
cellular I-Claim
immune I-Claim
function I-Claim
of I-Claim
patients I-Claim
, I-Claim
so I-Claim
as I-Claim
to I-Claim
enhance I-Claim
the I-Claim
therapeutic I-Claim
effect I-Claim
of I-Claim
chemotherapy I-Claim
. I-Claim

The O
American O
College O
of O
Surgeons O
Oncology O
Group O
phase O
III O
Surgical O
Prostatectomy O
Versus O
Interstitial O
Radiation O
Intervention O
Trial O
comparing O
radical O
prostatectomy O
( O
RP O
) O
and O
brachytherapy O
( O
BT O
) O
closed O
after O
2 O
years O
due O
to O
poor O
accrual O
. O

We O
report O
health O
- O
related O
quality O
of O
life O
( O
HRQOL O
) O
at O
a O
mean O
of O
5 O
. O
3 O
years O
for O
168 O
trial O
- O
eligible O
men O
who O
either O
chose O
or O
were O
randomly O
assigned O
to O
RP O
or O
BT O
following O
a O
multidisciplinary O
educational O
session O
. O

After O
initial O
lack O
of O
accrual O
, O
a O
multidisciplinary O
educational O
session O
was O
introduced O
for O
eligible O
patients O
. O

In O
all O
, O
263 O
men O
attended O
47 O
sessions O
. O

Of O
those O
, O
34 O
consented O
to O
random O
assignment O
, O
62 O
chose O
RP O
, O
and O
94 O
chose O
BT O
. O

Five O
years O
later O
, O
these O
190 O
men O
underwent O
HRQOL O
evaluation O
by O
using O
the O
cancer O
- O
specific O
50 O
- O
item O
Expanded O
Prostate O
Cancer O
Index O
Composite O
, O
the O
Short O
Form O
12 O
Physical O
Component O
Score O
, O
and O
Short O
Form O
12 O
Mental O
Component O
Score O
. O

Response O
rate O
was O
88 O
. O
4 O
% O
. O

The O
Wilcoxon O
rank O
sum O
test O
was O
used O
to O
compare O
summary O
scores O
between O
the O
two O
interventions O
. O

Of O
168 O
survey O
responders O
, O
60 O
. O
7 O
% O
had O
BT O
( O
9 O
. O
5 O
% O
randomly O
assigned O
) O
and O
39 O
. O
3 O
% O
had O
RP O
( O
9 O
. O
5 O
% O
randomly O
assigned O
) O
. O

Median O
age O
was O
61 O
. O
4 O
years O
for O
BT O
and O
59 O
. O
4 O
for O
RP O
( O
P O
= O
. O
05 O
) O
. O

Median O
follow O
- O
up O
was O
5 O
. O
2 O
years O
( O
range O
, O
3 O
. O
2 O
to O
6 O
. O
5 O
years O
) O
. O

For B-Premise
BT I-Premise
versus I-Premise
RP I-Premise
, I-Premise
there I-Premise
was I-Premise
no I-Premise
difference I-Premise
in I-Premise
bowel I-Premise
or I-Premise
hormonal I-Premise
domains I-Premise
, I-Premise
but O
men B-Premise
treated I-Premise
with I-Premise
BT I-Premise
scored I-Premise
better I-Premise
in I-Premise
urinary I-Premise
( I-Premise
91 I-Premise
. I-Premise
8 I-Premise
v I-Premise
88 I-Premise
. I-Premise
1 I-Premise
"""" I-Premise
; I-Premise
"""" I-Premise
P I-Premise
= I-Premise
. I-Premise
02 I-Premise
) I-Premise
and I-Premise
sexual I-Premise
( I-Premise
52 I-Premise
. I-Premise
5 I-Premise
v I-Premise
39 I-Premise
. I-Premise
2 I-Premise
"""" I-Premise
; I-Premise
"""" I-Premise
P I-Premise
= I-Premise
. I-Premise
001 I-Premise
) I-Premise
domains I-Premise
, I-Premise
and I-Premise
in I-Premise
patient I-Premise
satisfaction I-Premise
( I-Premise
93 I-Premise
. I-Premise
6 I-Premise
v I-Premise
76 I-Premise
. I-Premise
9 I-Premise
"""" I-Premise
; I-Premise
"""" I-Premise
P I-Premise
< I-Premise
. I-Premise
001 I-Premise
) I-Premise
. I-Premise

Although O
treatment O
allocation O
was O
random O
in O
only O
19 O
% O
, O
all O
patients O
received O
identical O
information O
in O
a O
multidisciplinary O
setting O
before O
selecting O
RP O
, O
BT O
, O
or O
random O
assignment O
. O

HRQOL B-Claim
evaluated I-Claim
3 I-Claim
. I-Claim
2 I-Claim
to I-Claim
6 I-Claim
. I-Claim
5 I-Claim
years I-Claim
after I-Claim
treatment I-Claim
showed I-Claim
an I-Claim
advantage I-Claim
for I-Claim
BT I-Claim
in I-Claim
urinary I-Claim
and I-Claim
sexual I-Claim
domains I-Claim
and I-Claim
in I-Claim
patient I-Claim
satisfaction I-Claim
. I-Claim

A O
multidimensional O
rehabilitation O
program O
for O
cancer O
survivors O
was O
developed O
to O
overcome O
cancer O
- O
related O
problems O
and O
to O
improve O
quality O
of O
life O
. O

The O
two O
purposes O
of O
the O
study O
were O
to O
describe O
the O
effectiveness O
of O
the O
program O
and O
to O
obtain O
information O
about O
patient O
preferences O
for O
multi O
or O
mono O
dimensional O
rehabilitation O
programs O
. O

cancer O
survivors O
with O
different O
diagnoses O
, O
and O
cancer O
- O
related O
physical O
and O
psychosocial O
problems O
. O

a O
15 O
- O
week O
rehabilitation O
program O
including O
individual O
exercise O
, O
sports O
, O
psycho O
- O
education O
, O
and O
information O
. O

Group O
- O
wise O
randomization O
was O
implemented O
by O
assigning O
one O
half O
of O
the O
patients O
to O
the O
complete O
program O
while O
the O
other O
half O
were O
allowed O
to O
choose O
which O
program O
components O
they O
considered O
relevant O
. O

Health O
- O
Related O
Quality O
of O
Life O
[ O
RAND O
- O
36 O
and O
Rotterdam O
Symptom O
Check O
List O
( O
RSCL O
) O
] O
, O
exercise O
capacity O
( O
symptom O
limited O
bicycle O
ergometry O
) O
, O
muscle O
force O
( O
hand O
- O
held O
dynamometry O
) O
, O
and O
patient O
preferences O
. O

Measurements O
were O
performed O
before O
( O
T0 O
) O
and O
after O
the O
rehabilitation O
program O
( O
T1 O
) O
, O
and O
at O
a O
3 O
- O
month O
follow O
- O
up O
( O
T2 O
) O
. O

